item_no,category,part,specifications,unit,unit_allowance_usd,one_axis_quantity,one_axis_total_usd,full_open_loop_quantity,full_open_loop_total_usd,additional_after_one_axis_usd,price_basis,purchase_url,purchase_link_type,notes
1,Bearings,42x30x7,61806 6806ZZ,piece,5.00,0,0.00,2,10.00,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HG4WNKJZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
2,Bearings,16x5x5,625,piece,1.00,0,0.00,12,12.00,12.00,unverified_planning_allowance,https://www.amazon.com/dp/B0BRQP2QG7/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
3,Bearings,16x8x4,688ZZ-4,piece,1.50,0,0.00,15,22.50,22.50,unverified_planning_allowance,https://www.amazon.com/dp/B07FW2YKL8/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
4,Bearings,26x17x5,61803,piece,3.00,0,0.00,22,66.00,66.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HG4W4BKB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
5,Bearings,65x50x7,61810,piece,10.00,0,0.00,3,30.00,30.00,unverified_planning_allowance,https://www.amazon.com/dp/B007VH8W00/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
6,Bearings,78x60x10,61812,piece,12.00,0,0.00,5,60.00,60.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CVXHLBT9/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
7,Bearings,13x6x3.5,618/6 686K,piece,2.00,0,0.00,15,30.00,30.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GG35M5LK/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
8,Bearings,6x3x2.5,MR63ZZ,piece,1.00,0,0.00,1,1.00,1.00,unverified_planning_allowance,https://www.amazon.com/dp/B0DY11G865/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
9,Closed Loop Belts GT2,X,"Width: 10mm, Length: 630mm",piece,5.00,0,0.00,1,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/dp/B0H4T9MNQR/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
10,Closed Loop Belts GT2,Y,"Width: 10mm, Length: 380mm",piece,4.00,0,0.00,1,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HBVT6F57/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
11,Closed Loop Belts GT2,Z,"Width: 10mm, Length: 450mm",piece,4.00,0,0.00,1,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HBV2WRS3/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
12,Closed Loop Belts GT2,BC,"Width: 6mm, Length: 450mm",piece,3.00,0,0.00,2,6.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CMHXRGQQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
13,Pulleys & Idlers,GT2 W6 B5 20T (Pulley),,piece,2.00,0,0.00,3,6.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
14,Pulleys & Idlers,GT2 W10 B5 20T (Pulley),,piece,2.50,0,0.00,1,2.50,2.50,unverified_planning_allowance,https://www.amazon.com/dp/B0GWLM6FD6/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
15,Pulleys & Idlers,GT2 W10 B6.35 20T (Pulley),,piece,3.00,0,0.00,2,6.00,6.00,unverified_planning_allowance,https://www.amazon.com/dp/B07BT6MVXB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
16,Pulleys & Idlers,GT2 W10 B5 20T without T (Idler),,piece,2.50,0,0.00,4,10.00,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B07BPHRSN5/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
17,Pulleys & Idlers,GT2 W6 B5 20T without T (Idler),,piece,2.00,0,0.00,4,8.00,8.00,unverified_planning_allowance,https://www.amazon.com/dp/B09YHCF43B/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
18,Motors,"X,Y: Nema 23","1.8Nm, 2.8A, 6.35/76 mm",piece,30.00,0,0.00,2,60.00,60.00,unverified_planning_allowance,https://www.amazon.com/dp/B00PNEPI0A/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
19,Motors,Z: Nema 17,"65Ncm, 2.1A, 5/60 mm",piece,18.00,0,0.00,1,18.00,18.00,unverified_planning_allowance,https://www.amazon.com/dp/B0FP1TJ7PR/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
20,Motors,A: Nema 17,"1.3A, 5/34 mm",piece,12.00,1,12.00,1,12.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B09CYGLSCY/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote. Stage 1 uses the A-axis motor unloaded; retain for the final wrist.
21,Motors,"B,C: Nema 17","24Ncm, 1.2A, 5/23 mm",piece,12.00,0,0.00,2,24.00,24.00,unverified_planning_allowance,https://www.amazon.com/dp/B0B93PNYCP/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
22,Motors,Servo DS3225,25kg,piece,20.00,0,0.00,1,20.00,20.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CNTG877G/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
23,Open Loop Option,Arduino Mega,,piece,20.00,1,20.00,1,20.00,0.00,unverified_planning_allowance,https://www.amazon.com/dp/B0D6FZMB6Z/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
24,Open Loop Option,CNC shield V3,,piece,5.00,1,5.00,2,10.00,5.00,unverified_planning_allowance,https://www.amazon.com/dp/B0H7TB96GQ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
25,Open Loop Option,Drivers TMC 2209,,piece,5.00,1,5.00,6,30.00,25.00,unverified_planning_allowance,https://www.amazon.com/dp/B08WZFK9KT/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,Unverified planning allowance; not a supplier quote.
