bucket,item_no,part,specifications,unit,allocated_quantity,already_in_bench_quantity,remaining_quantity,unit_allowance_usd,allocated_total_usd,already_in_bench_usd,marginal_after_bench_usd,robot_joint,parent_link,child_link,joint_axis,assignment_basis,price_basis,purchase_url,purchase_link_type
shared,1,42x30x7,61806 6806ZZ,piece,2,0,2,5.00,10.00,0.00,10.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0HG4WNKJZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,2,16x5x5,625,piece,12,0,12,1.00,12.00,0.00,12.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0BRQP2QG7/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,3,16x8x4,688ZZ-4,piece,15,0,15,1.50,22.50,0.00,22.50,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B07FW2YKL8/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,4,26x17x5,61803,piece,22,0,22,3.00,66.00,0.00,66.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0HG4W4BKB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,5,65x50x7,61810,piece,3,0,3,10.00,30.00,0.00,30.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B007VH8W00/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,6,78x60x10,61812,piece,5,0,5,12.00,60.00,0.00,60.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0CVXHLBT9/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,7,13x6x3.5,618/6 686K,piece,15,0,15,2.00,30.00,0.00,30.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0GG35M5LK/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
shared,8,6x3x2.5,MR63ZZ,piece,1,0,1,1.00,1.00,0.00,1.00,,,,,Shared equipment or per-axis quantity unverified; purchased once in this schedule,unverified_planning_allowance,https://www.amazon.com/dp/B0DY11G865/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
X,9,X,"Width: 10mm, Length: 630mm",piece,1,0,1,5.00,5.00,0.00,5.00,joint_1,base_link,shoulder_link,0 0 1,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0H4T9MNQR/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
Y,10,Y,"Width: 10mm, Length: 380mm",piece,1,0,1,4.00,4.00,0.00,4.00,joint_2,shoulder_link,upper_arm_link,0 1 0,BOM axis label; quantity split where multiple axes share a row,unverified_planning_allowance,https://www.amazon.com/dp/B0HBVT6F57/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified
