item_no,category,group,configuration,part,specifications,bom_quantity,budget_quantity,budget_unit,currency,budget_unit_price_usd,budget_line_total_usd,price_basis,purchase_url,purchase_link_type,aliexpress_url,amazon_url,budget_notes,source_url,checked_date
1,Bearings,,common,42x30x7,61806 6806ZZ,2,2,piece,USD,5.00,10.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HG4WNKJZ/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DBjiffB,https://www.amazon.com/dp/B0HG4WNKJZ/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
2,Bearings,,common,16x5x5,625,12,12,piece,USD,1.00,12.00,unverified_planning_allowance,https://www.amazon.com/dp/B0BRQP2QG7/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DEwxH1F,https://www.amazon.com/dp/B0BRQP2QG7/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
3,Bearings,,common,16x8x4,688ZZ-4,15,15,piece,USD,1.50,22.50,unverified_planning_allowance,https://www.amazon.com/dp/B07FW2YKL8/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DFmKtBP,https://www.amazon.com/dp/B07FW2YKL8/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
4,Bearings,,common,26x17x5,61803,22,22,piece,USD,3.00,66.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HG4W4BKB/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c2yLzgAH,https://www.amazon.com/dp/B0HG4W4BKB/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
5,Bearings,,common,65x50x7,61810,3,3,piece,USD,10.00,30.00,unverified_planning_allowance,https://www.amazon.com/dp/B007VH8W00/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_Dd0W8Bb,https://www.amazon.com/dp/B007VH8W00/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
6,Bearings,,common,78x60x10,61812,5,5,piece,USD,12.00,60.00,unverified_planning_allowance,https://www.amazon.com/dp/B0CVXHLBT9/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DneuDrR,https://www.amazon.com/dp/B0CVXHLBT9/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
7,Bearings,,common,13x6x3.5,618/6 686K,15,15,piece,USD,2.00,30.00,unverified_planning_allowance,https://www.amazon.com/dp/B0GG35M5LK/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4dxpMzd,https://www.amazon.com/dp/B0GG35M5LK/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
8,Bearings,,common,6x3x2.5,MR63ZZ,1,1,piece,USD,1.00,1.00,unverified_planning_allowance,https://www.amazon.com/dp/B0DY11G865/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DlnDH3j,https://www.amazon.com/dp/B0DY11G865/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
9,Motion & Control Components,Closed Loop Belts GT2,common,X,"Width: 10mm, Length: 630mm",1,1,piece,USD,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/dp/B0H4T9MNQR/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DkmYDZb,https://www.amazon.com/dp/B0H4T9MNQR/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
10,Motion & Control Components,Closed Loop Belts GT2,common,Y,"Width: 10mm, Length: 380mm",1,1,piece,USD,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/dp/B0HBVT6F57/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_DkmYDZb,https://www.amazon.com/dp/B0HBVT6F57/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
