mvp_item,source_bom_item,part,specification,required_quantity,unit,quantity_basis,amazon_pack_quantity,amazon_packs_to_buy,amazon_pack_price_usd,amazon_total_usd,amazon_url,amazon_price_status,aliexpress_url,aliexpress_price_usd,aliexpress_price_status,budget_total_usd,budget_basis,docs_check,notes,checked_date,price_source_url,aliexpress_price_source_url,aliexpress_price_notes
J1-01,18,X-axis NEMA 23 motor,2.8 A/phase; >=1.8 Nm; 6.35 mm shaft; 76 mm body,1,piece,Official X/Y motor specification; one channel,1,1,29.99,29.99,https://www.amazon.com/dp/B00PNEPI0A,observed_listing_price,https://s.click.aliexpress.com/e/_Dlo9ZWV,,unavailable_page_challenge,29.99,observed_amazon_pack_cost,Official BOM 18 matches selected listing; official assembly steps 786,Selected motor is 1.9 Nm; cheaper 8 mm shaft / 82 mm body candidate rejected.,2026-09-25,https://www.amazon.com/dp/B00PNEPI0A,,No exact-variant checkout price verified.
J1-02,custom,External STEP/DIR driver,TB6600-style; 24 V input; current setting suitable for 2.8 A motor,1,piece,MVP substitution for shield and TMC2209,1,1,9.98,9.98,https://www.amazon.com/dp/B0FFGGJTYX,observed_listing_price,https://www.aliexpress.com/item/1005006860889354.html,8.53,search_indexed_tracker_lead_unverified,9.98,observed_amazon_pack_cost,MVP substitution; vendor listing and DFRobot reference checked,Set current using the actual module peak/RMS table; generic module is not the documented DFRobot product.,2026-09-25,https://www.amazon.com/dp/B0FFGGJTYX,https://www.pricearchive.org/aliexpress.com/item/1005006860889354,Search-indexed tracker lead checked 2026-09-25; variant and shipping unverified; excluded from totals.
J1-03,29,Nano-compatible controller and USB cable,ATmega328P; 5 V logic; headers fitted,1,board,Single-axis STEP/DIR controller substitution,3,1,15.99,15.99,https://www.amazon.com/dp/B07G99NNXL,observed_listing_price,https://s.click.aliexpress.com/e/_oCXrlll,,unavailable_page_challenge,15.99,observed_amazon_pack_cost,BOM 29 names Nano; open-loop use is a custom MVP architecture,Observed Amazon package is THREE boards; buy one pack. Requires single-axis firmware; existing six-axis Mega firmware is not a drop-in.,2026-09-25,https://www.amazon.com/dp/B07G99NNXL,,No exact-variant checkout price verified.
J1-04,custom,Enclosed DC supply and AC cord,24 V DC; 5 A; 120 W; matching DC connector,1,set,Single unloaded base-joint supply allowance,1,1,23.99,23.99,https://www.amazon.com/dp/B0DJ92N275,observed_listing_price,https://www.aliexpress.com/w/wholesale-24v-5a-power-adapter.html,,search_no_product_selected,23.99,observed_amazon_pack_cost,MVP substitution; listing specifies 24 V 5 A and AC cable,Original BOM 31 Amazon link is a Resvent device adapter; rejected. Controller powered over USB; never feed 24 V to Nano.,2026-09-25,https://www.amazon.com/dp/B0DJ92N275,,No exact-variant checkout price verified.
J1-05,1,Central shaft bearings,6806 / 61806; ID 30 x OD 42 x width 7 mm,2,piece,Two modeled bearings on X shaft at z=113.9 and 160.9 mm,,,,,https://www.amazon.com/dp/B0HG4WNKJZ,unverified_no_price,https://s.click.aliexpress.com/e/_DBjiffB,,unavailable_page_challenge,10.00,planning_allowance,Official BOM 1 specification; local CAD quantity confirmed; official assembly steps 753 and 801,Original Amazon link unavailable; allowance is not a quote. Select steel ZZ or check equivalent seals for fit.,2026-09-25,,,No exact-variant checkout price verified.
J1-06,2,Base support bearings,625; ID 5 x OD 16 x width 5 mm,12,piece,Twelve modeled bearings around X base,12,1,8.99,8.99,https://www.amazon.com/dp/B0BRQP2QG7,observed_listing_price,https://s.click.aliexpress.com/e/_DEwxH1F,,unavailable_page_challenge,8.99,observed_amazon_pack_cost,Official BOM 2 and local CAD quantity confirmed; official assembly steps 806-808; repetition note 805,Observed listing supplies twelve 625-2RS bearings.,2026-09-25,https://www.amazon.com/dp/B0BRQP2QG7,,No exact-variant checkout price verified.
J1-07,9,Closed-loop X timing belt,GT2 / 2GT; pitch 2 mm; length 630 mm; width 10 mm,1,piece,Official X belt quantity,,,,,https://www.amazon.com/dp/B0H4T9MNQR,unverified_no_price,https://s.click.aliexpress.com/e/_DkmYDZb,,unavailable_page_challenge,6.00,planning_allowance,Official BOM 9 confirmed; modeled X belt present; official assembly steps 726,Original Amazon link unavailable. Do not substitute an open belt or 6/9 mm width.,2026-09-25,,,No exact-variant checkout price verified.
J1-08,15,Motor pulley,GT2; 20 teeth; 10 mm belt; 6.35 mm bore,1,piece,One X motor pulley; second source quantity belongs to Y,5,1,7.99,7.99,https://www.amazon.com/dp/B07BT6MVXB,observed_listing_price,https://s.click.aliexpress.com/e/_DkvAwMV,,unavailable_page_challenge,7.99,observed_amazon_pack_cost,Official BOM 15 specification and listing match; official assembly steps 769,Five-pack cost retained; four spare pulleys.,2026-09-25,https://www.amazon.com/dp/B07BT6MVXB,,No exact-variant checkout price verified.
J1-09,16,Smooth idlers,GT2 20T envelope; 10 mm belt; 5 mm bore,2,piece,Two CAD idlers at X tensioner,5,1,9.99,9.99,https://www.amazon.com/dp/B07BPHRSN5,observed_listing_price,https://s.click.aliexpress.com/e/_DEKET1L,,unavailable_page_challenge,9.99,observed_amazon_pack_cost,Official BOM 16 and CAD quantity confirmed; listing conflict unresolved; official assembly steps 721-724,Amazon title says 5 mm bore but one feature says 3 mm; confirm 5 mm with seller before ordering.,2026-09-25,https://www.amazon.com/dp/B07BPHRSN5,,No exact-variant checkout price verified.
J1-10,40;46;48;54;56,Base fastener basket,M3x20 x11 + M3 nuts x11; M5x20 x10; M5x30 x12; M5 nuts x10; two M5 washers (ID 5.3 mm / OD 10 mm),1,basket,CAD-derived base-only takeoff; omits sensors and electronics panels,,,,,https://www.amazon.com/s?k=M3+M5+socket+head+screws+nuts+assortment,unverified_no_price,https://www.aliexpress.com/w/wholesale-m3-m5-socket-head-screws-nuts.html,,search_no_product_selected,20.00,planning_allowance,Sizes appear in official BOM; per-axis counts inferred from CAD; assembly step 724 mislabels M5-sized washers as M3,Includes eight core screws and three pulley screws; includes motor bracket and two idlers. Final lengths/thread engagement require dry fit; 12 M5x30 hold support bearings. Retail packs not yet selected. CAD washer bore is 5.3 mm and OD 10 mm; check stack against printed WasherXIdler spacers before assembly.,2026-09-25,,,No exact-variant checkout price verified.
J1-11,custom,Rigid base board and attachment hardware,Four M8 fixings; length to suit bench/board thickness,1,set,Four modeled base mounting positions,,,,,https://www.amazon.com/s?k=M8+bolts+nuts+washers,unverified_no_price,https://www.aliexpress.com/w/wholesale-m8-bolts-nuts-washers.html,,search_no_product_selected,10.00,planning_allowance,CAD uses M8x25; official BOM 51 lists M8x40; length remains fixture-dependent; official assembly steps 814; fixture note 815,Select washers/nuts or threaded mounting plate to match fixture; do not assume the global BOM length fits.,2026-09-25,,,No exact-variant checkout price verified.
J1-12,custom,Power and motor wiring basket,Four motor conductors; DC connector; terminals; inline fuse; DC-rated disconnect; insulation,1,basket,Required bench wiring and circuit protection,,,,,https://www.amazon.com/s?k=18+AWG+wire+inline+fuse+holder+DC+switch,unverified_no_price,https://www.aliexpress.com/w/wholesale-18-awg-wire-inline-fuse-holder.html,,search_no_product_selected,15.00,planning_allowance,MVP wiring substitution; final connector/current ratings need selection,Use rated wire for motor and supply current; no Dupont leads for motor power. Includes extension only if motor leads are too short.,2026-09-25,,,No exact-variant checkout price verified.
J1-13,75,Signal jumper wires,Male/female set for 5 V STEP/DIR control,1,pack,One signal harness set,1,1,6.98,6.98,https://www.amazon.com/dp/B01EV70C78,observed_listing_price,https://s.click.aliexpress.com/e/_c4Pa9hKv,,unverified_source_link,6.98,observed_amazon_pack_cost,Official BOM 75; use only for signal wiring,Regular one-time offer observed in motor/controller bundle; subscription price excluded.,2026-09-25,https://www.amazon.com/dp/B01EV70C78,,No exact-variant checkout price verified.
J1-14,66,Printed Joint 1 base and output,X lower core; X upper Core; X motor CORE; X pulley shaft; X pulley; X pulley nut; X idler tensioner; two WasherXIdler,1,printed set,Local 2.9.7 CAD/STLs; PLA already owned,,,,,,already_owned,,,already_owned,0.00,owned_PLA,Purchased local CAD identifies these X components; official assembly steps 751; 764; 767; 774; 798; 820-821,Print structural/transmission parts; defer cosmetic panels and sensor holders. No purchased meshes are published.,2026-09-25,,,Owned PLA; no new purchase.
